Team #,DP,DivDP,OPR,CCWM,Region
2200,28,28,124.71969420898628,124.71969420898628,ONT
2202,19,19,106.76652684676938,106.76652684676938,Wisconsin
2220,22,22,108.24032003759666,108.24032003759666,Minnesota
2228,7,7,87.42500434120294,87.42500434120294,New York
2377,16,16,123.11474133871667,123.11474133871667,CHS
2549,8,8,88.83846002990472,88.83846002990472,Minnesota
2620,3,3,29.431466181830036,29.431466181830036,FIM
2830,9,9,108.19313296058301,108.19313296058301,Wisconsin
303,13,13,108.60057224157701,108.60057224157701,MAR
3381,8,8,112.30763169928818,112.30763169928818,Wisconsin
3618,6,6,77.62249438534923,77.62249438534923,FIM
3620,40,40,96.92661414131693,96.92661414131693,FIM
3656,24,24,106.65196425768298,106.65196425768298,FIM
3767,10,10,78.78736182571335,78.78736182571335,FIM
3928,28,28,172.0955960476336,172.0955960476336,Iowa
4003,79,69,182.91798579120984,182.91798579120984,FIM
4011,11,11,113.18960680273048,113.18960680273048,Wisconsin
4096,8,8,106.2761740437808,106.2761740437808,Illinois
4237,48,48,133.1128794564603,133.1128794564603,FIM
4392,16,16,106.47697229853263,106.47697229853263,FIM
447,13,13,85.1927254008363,85.1927254008363,IN
4521,11,11,101.42731592247645,101.42731592247645,Ohio
4541,57,47,122.77916039768701,122.77916039768701,CHS
4557,21,21,111.6801067674849,111.6801067674849,NE
4776,30,30,138.9201641036181,138.9201641036181,FIM
4786,27,27,150.02151602563225,150.02151602563225,Wisconsin
4909,9,9,105.49132039386657,105.49132039386657,NE
5216,12,12,137.4385680574414,137.4385680574414,FIM
5407,15,15,113.48209985718005,113.48209985718005,MAR
5413,14,14,125.7321788965051,125.7321788965051,Ohio
5422,6,6,81.05699838959366,81.05699838959366,NE
5436,13,13,144.1597409757733,144.1597409757733,FIM
5531,4,4,64.46774112533723,64.46774112533723,FIM
555,12,12,80.79730329642194,80.79730329642194,MAR
5674,11,11,97.70109965917891,97.70109965917891,FIM
5724,15,15,132.13449790835892,132.13449790835892,CHS
58,7,7,99.7283239547189,99.7283239547189,NE
5913,13,13,115.28227794697594,115.28227794697594,Minnesota
612,10,10,98.79301914258089,98.79301914258089,CHS
6121,12,12,110.02378368596654,110.02378368596654,FIM
6237,10,10,103.46992937091966,103.46992937091966,Illinois
6328,31,31,158.65004401039045,158.65004401039045,NE
6329,14,14,118.75743860943103,118.75743860943103,NE
67,48,48,157.57259731369206,157.57259731369206,FIM
6860,5,5,18.019655078554386,18.019655078554386,MAR
6875,17,17,129.88369963363093,129.88369963363093,ONT
694,44,44,159.7428697156318,159.7428697156318,New York
6968,5,5,44.130544794335165,44.130544794335165,Netherlands
7160,12,12,108.15876281256352,108.15876281256352,FIM
7329,15,15,117.23059146271132,117.23059146271132,ONT
868,75,65,164.19736419010746,164.19736419010746,IN
870,20,20,125.22635298696949,125.22635298696949,New York
894,16,16,112.41750372596678,112.41750372596678,FIM
103,17,17,116.5703501441841,116.5703501441841,MAR
1100,14,14,121.22654013085561,121.22654013085561,NE
133,41,41,158.0844415618989,158.0844415618989,NE
1507,16,16,141.75746801747636,141.75746801747636,New York
